aback	by surprise
Vedanta	system of philosophy that further develops the implications in the Upanishads that all reality is a single principle, Brahman
veer	turn aside from a course, direction, or purpose; swerve
vehement	characterized by forcefulness of expression or intensity of emotion or conviction; fervid; full of vigor or energy; strong
venal	open to bribery; mercenary
vendetta	a bitter, destructive feud
venerate	to regard with respect, reverence, or heartfelt deference
vengeance	infliction of punishment in return for a wrong committed; retribution
venue	locality where a crime is committed or a cause of action occurs; a place for large gatherings, as a sports stadium
veracious	truthful; accurate
verbatim	using exactly the same words; corresponding word for word
verbose	using or containing a great and usually an excessive number of words; wordy
verdant	green with vegetation; covered with green growth; green in hue; lacking experience or sophistication; naïve
vernacular	occurring in the spring
vernal	relating to, or occurring in the spring; fresh and young; youthful
vertex	highest point; top
vertigo	dizziness
verve	energy and enthusiasm in the expression of ideas; vitality; liveliness
vesicant	a blistering agent, especially mustard gas, used in chemical warfare
vespertine	of, relating to, or occurring in the evening; active, flowering, or flourishing in the evening : crepuscular
vestal	1. Roman Mythology. a. Of or relating to Vesta. b. Relating to or characteristic of the vestal virgins. 2. Chaste; pure.
vestibule	small entrance hall or passage between the outer door and the interior of a house or building
vestige	a visible trace, evidence, or sign of something that once existed but exists or appears no more
vexation	annoying, irritating
viable	capable of living or developing; able to be done or used
viaticum	Ecclesiastical - the Eucharist given to a dying person or one in danger of death; supplies for a journey
vibrant	pulsing or throbbing with energy or activity; vigorous, lively, and vital
vicarious	felt or undergone as if one were taking part in the experience or feelings of another
vie	compete
vigil	a watch kept during normal sleeping hours; the act or a period of observing; surveillance
vigilant	on the alert; watchful
vigilante	one who takes or advocates the taking of law enforcement into one's own hands
vignette	decorative design placed at the beginning or end of a book or chapter of a book or along the border of a page
vigor	physical or mental strength, energy, or force
vile	loathsome; disgusting; unpleasant or objectionable
vilify	to make vicious and defamatory statements about
villain	wicked or evil person; scoundrel
vim	ebullient vitality and energy
vincible	capable of being overcome or defeated
vindicate	to clear of accusation, blame, suspicion, or doubt with supporting arguments or proof; to provide justification or support for
vindictive	revengeful; a desire to hurt; spiteful
virago	a woman regarded as noisy, scolding, or domineering; a large, strong, courageous woman
virile	of a man; manlike; strong and forceful
virtu	a knowledge or love of or taste for fine objects of art
virtual	existing or resulting in essence or effect though not in actual fact, form, or name; existing in the mind
virtue	moral excellence and righteousness; goodness; chastity, especially in a girl or woman; a particularly efficacious, good, or beneficial quality
virtuosity	technical skill, fluency, or style exhibited by a virtuoso; an appreciation for or interest in fine objects of art
virtuoso	a musician with masterly ability, technique, or personal style; a person with masterly skill or technique in the arts
vis-à-vis	face to face with; opposite to; compared with; in relation to
visage	the face or facial expression of a person; countenance
viscera	soft internal organs of the body, especially those contained within the abdominal and thoracic cavities
visceral	perceived in or as if in the viscera; profound; instinctive
Vishnu	One of the principal Hindu deities, worshiped as the protector and preserver of worlds
vista	distant view or prospect, especially one seen through an opening, as between rows of buildings or trees
vital	necessary to the continuation of life; life-sustaining; full of life; animated
vitiate	reduce the value or impair the quality of; corrupt morally; debase
vitriolic	bitterly scathing; caustic
vituperate	rebuke or criticize harshly or abusively; berate
vivacious	full of animation and spirit; lively
viviparous	giving birth to living offspring that develop within the mother's body
vixen	a female fox; a woman regarded as quarrelsome, shrewish, or malicious
volition	conscious choice or decision; the power or faculty of choosing; the will
voluble	a ready flow of speech; fluent
voluptuary	a person whose life is given over to luxury and sensual pleasures; a sensualist
voluptuous	giving, characterized by, or suggesting ample, unrestrained pleasure to the senses; devoted to or indulging in sensual pleasures
voracious	consuming or eager to consume great amounts of food; ravenous
votary	a committed worshiper
votive	given or dedicated in fulfillment of a vow or pledge
voyeur	a person who derives sexual gratification from observing the naked bodies or sexual acts of others
wallow	to roll the body about indolently or clumsily in or as if in water, snow, or mud
wane	to decrease gradually in size, amount, intensity, or degree; decline
wanton	immoral or unchaste; lewd
wastrel	one who wastes, especially one who wastes money; a profligate
wax	to increase gradually in size, number, strength, or intensity
waylay	to lie in wait for and attack from ambush
welter	to roll, toss, or heave, as waves or the sea; to become deeply or extensively involved, associated, entangled
wheedle	to persuade or attempt to persuade by flattery or guile; cajole
whim	a sudden or capricious idea; a fancy; arbitrary thought or impulse
whimsical	determined by, arising from, or marked by whim or caprice; erratic in behavior or degree of unpredictability
woolgathering	indulgence in idle daydreaming
wraith	an apparition of a living person that appears as a portent just before that person's death; the ghost of a dead person
wrath	forceful, often vindictive anger; punishment or vengeance as a manifestation of anger; divine retribution for sin
wry	dryly humorous, often with a touch of irony
xenophobe	a person unduly fearful or contemptuous of that which is foreign, especially of strangers or foreign peoples
xeric	adapted to an extremely dry habitat
yearn	to have a strong, often melancholy desire
yoga	a Hindu theistic philosophy teaching the suppression of all activity of body, mind, and will in order that the self may realize its distinct
yokel	an unsophisticated person from a rural area; a country bumpkin
zeal	enthusiastic devotion to a cause, an ideal, or a goal and tireless diligence in its furtherance
zen	a Japanese sect of Mahayana Buddhism that aims at enlightenment by direct intuition through meditation
zoomorphic	having the form of an animal; of, relating to, or being a deity conceived of in animal form or with animal attributes
